ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000683.SH,20250819,1242.7075,1264.4939,1283.088,1242.0103,1262.4899,-19.7824,-1.5669,3390655.0,18445227.0,2025-08-19 15:05:12
000685.SH,20250819,1970.4065,1985.2298,2008.2043,1968.8416,1993.1517,-22.7452,-1.1412,6379268.0,58991558.0,2025-08-19 15:05:12
000687.SH,20250819,1199.2304,1201.781,1207.2813,1182.9879,1199.7738,-0.5434,-0.0453,6842976.0,24690599.6,2025-08-19 15:05:12
000688.SH,20250819,1112.2662,1122.6391,1133.6292,1111.6597,1124.8218,-12.5556,-1.1162,8425769.0,54923342.4,2025-08-19 15:05:12
000689.SH,20250819,1015.4376,1020.5022,1024.9887,1007.7985,1022.7528,-7.3152,-0.7152,5162686.0,17590064.0,2025-08-19 15:05:12
000690.SH,20250819,1425.5683,1438.7291,1457.989,1421.4436,1444.0945,-18.5262,-1.2829,6355559.0,52667724.4,2025-08-19 15:05:12
000691.SH,20250819,1210.7353,1221.5587,1231.0652,1209.9243,1221.6867,-10.9514,-0.8964,5772670.0,36417725.2,2025-08-19 15:05:12
000692.SH,20250819,1012.984,1016.2699,1019.7335,1002.6961,1015.3612,-2.3772,-0.2341,6639673.0,14949563.8,2025-08-19 15:05:12
000693.SH,20250819,1297.434,1299.6172,1307.1215,1275.0942,1294.802,2.632,0.2033,5709174.0,20212371.2,2025-08-19 15:05:12
000695.SH,20250819,893.4314,898.3536,907.4358,893.2245,898.9907,-5.5593,-0.6184,6714541.0,36059071.8,2025-08-19 15:05:12
000697.SH,20250819,1202.0604,1204.5323,1210.3523,1190.0608,1207.8179,-5.7575,-0.4767,6028292.0,21945707.4,2025-08-19 15:05:12
000698.SH,20250819,1275.4542,1282.2104,1290.6585,1270.6282,1285.2993,-9.8451,-0.766,11428323.0,51770706.0,2025-08-19 15:05:12
000699.SH,20250819,1243.5502,1245.6387,1257.7071,1233.2245,1245.768,-2.2178,-0.178,21466028.0,78404112.9,2025-08-19 15:05:12
000802.SH,20250819,6926.5115,6935.1136,6979.5046,6900.5495,6941.5538,-15.0423,-0.2167,130218812.0,190149398.1,2025-08-19 15:05:12
000805.CSI,20250819,5454.4068,5467.0146,5501.251,5437.9322,5469.3662,-14.9594,-0.2735,39256774.0,71874404.4,2025-08-19 15:11:41
