TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
002418.SZ,SZ,康盛股份,5.04,3.278688430786133,1897507360,5727439746.0,5727456000.0,32.268924713134766,,93136.0,,,1,家电行业,0/0,Z,20250819,,,9.016392707824707
831641.BJ,SZ,格利尔,22.16,17.74707794189453,280772576,989606765.2,1663662000.0,26.978702545166016,,93231.0,,,1,家电行业,0/0,Z,20250819,,,23.00743865966797
603048.SH,SH,浙江黎明,20.48,4.223918437957764,302484160,3008102400.0,3008102400.0,9.922953605651855,,93345.0,,,1,汽车零部件,0/0,Z,20250819,,,10.229007720947266
430476.BJ,SZ,海能技术,36.22,0.22136138379573822,1122312032,2920417984.2599998,3085212356.0,33.83095932006836,,93407.0,,,1,仪器仪表,2/3,Z,20250819,,,32.540122985839844
603118.SH,SH,共进股份,13.06,6.699346542358398,1872816048,10281829862.36,10281829784.0,18.23174285888672,,94255.0,,,1,通信设备,0/0,Z,20250819,,,8.006536483764648
603087.SH,SH,甘李药业,68.03,6.9485931396484375,2793189136,38191946826.03,40890472086.88,7.234142303466797,,94920.0,,,1,生物制品,0/0,Z,20250819,,,7.828957557678223
605116.SH,SH,奥锐特,25.03,4.553049564361572,425024224,9949706187.02,10167066656.960001,4.1696062088012695,,95001.0,,,3,化学制药,0/0,Z,20250819,,,10.150376319885254
836504.BJ,SZ,博迅生物,34.03,18.200763702392578,261669573,581834833.09,1474625393.0,43.89795684814453,,95031.0,,,1,仪器仪表,0/0,Z,20250819,,,28.516847610473633
603716.SH,SH,塞力医疗,31.4,5.122196197509766,1977414112,5997967555.0,5997967555.0,32.28501892089844,,95120.0,,,1,医药商业,0/0,Z,20250819,,,11.215266227722168
002566.SZ,SZ,益盛药业,8.68,4.45246696472168,208307528,2011941262.24,2872659888.0,10.219526290893555,,95457.0,,,1,中药,0/0,Z,20250819,,,9.98796558380127
600712.SH,SH,南宁百货,7.38,7.111756324768066,595101024,3975224977.98,4019556556.7999997,14.89919662475586,,95645.0,,,3,商业百货,0/0,Z,20250819,,,9.869376182556152
600208.SH,SH,衢州发展,5.54,3.7453181743621826,3645357824,47134188906.98,47139532032.0,7.747556209564209,,95908.0,,,1,房地产开发,3/5,Z,20250819,,,14.044943809509277
300004.SZ,SZ,南风股份,11.44,13.717694282531738,1909714768,5491126761.12,5491126784.0,34.88218688964844,,102603.0,,,3,专用设备,0/0,Z,20250819,,,18.091449737548828
002815.SZ,SZ,崇达技术,15.82,6.819715976715088,1927859472,10135054603.1,17105402083.84,19.050193786621094,,103227.0,,,2,电子元件,0/0,Z,20250819,,,11.276165008544922
603709.SH,SH,中源家居,14.92,-2.419882297515869,151017314,1866630308.4,1882478780.0,7.6370134353637695,,103245.0,,,1,装修建材,0/0,Z,20250819,,,12.688032150268555
688521.SH,SH,芯原股份,127.28,13.389754295349121,3593098928,63748548456.96,66912786278.4,5.719715595245361,,103916.0,,,2,半导体,0/0,Z,20250819,,,21.737194061279297
300204.SZ,SZ,舒泰神,58.3,4.95049524307251,2889605648,27516393248.3,27854140248.0,10.025666236877441,,104336.0,,,2,生物制品,0/0,Z,20250819,,,20.99009895324707
001267.SZ,SZ,汇绿生态,14.36,8.541193962097168,1258417616,8269368598.28,11260604689.92,15.371430397033691,,104642.0,,,5,工程建设,0/0,Z,20250819,,,10.204081535339355
003025.SZ,SZ,思进智能,15.32,4.359673023223877,368948784,3653802090.92,4350168416.64,10.081859588623047,,110906.0,,,1,通用设备,0/0,Z,20250819,,,11.376021385192871
000657.SZ,SZ,中钨高新,19.1,5.583195209503174,3182023328,23971018526.800003,43528028734.4,13.334203720092773,,111233.0,,,2,小金属,0/0,Z,20250819,,,11.000553131103516
605138.SH,SH,盛泰集团,7.9,6.182795524597168,149304906,4388953506.5,4388953451.2,3.4358973503112793,,111723.0,,,1,纺织服装,0/0,Z,20250819,,,11.155913352966309
601869.SH,SH,长飞光纤,59.23,6.971283912658691,1346087824,24067418338.219997,44890719309.92,5.658201694488525,,112019.0,,,2,通信设备,0/0,Z,20250819,,,10.348564147949219
300631.SZ,SZ,久吾高科,36.87,11.693426132202148,1428640448,4446501942.719999,4610351042.88,32.21129608154297,,112245.0,,,1,环保行业,0/0,Z,20250819,,,19.600122451782227
002897.SZ,SZ,意华股份,45.28,5.597014904022217,1496613984,8260213644.64,8786570234.880001,18.049936294555664,,112600.0,,,1,光伏设备,0/0,Z,20250819,,,10.774253845214844
600869.SH,SH,远东股份,6.58,6.472492218017578,996258880,14603341068.68,14603341108.16,6.82626485824585,,112956.0,,,2,电网设备,0/0,Z,20250819,,,11.003236770629883
603119.SH,SH,浙江荣泰,65.54,7.654402256011963,2033152480,13362261315.820002,23839660117.760002,15.496099472045898,,130029.0,,,4,非金属材,0/0,Z,20250819,,,12.762811660766602
301525.SZ,SZ,儒竞科技,106.54,12.17098331451416,832851488,5263203528.38,10047975762.720001,16.562944412231445,,130251.0,,,2,通用设备,0/0,Z,20250819,,,22.931142807006836
002664.SZ,SZ,信质集团,27.0,7.526882171630859,1284867152,10869554376.0,11021400000.0,12.199272155761719,,130333.0,,,1,汽车零部件,0/0,Z,20250819,,,13.500597953796387
688319.SH,SH,欧林生物,31.21,12.712170600891113,830777760,12652824253.0,12669187656.0,6.7984299659729,,130420.0,,,2,生物制品,0/0,Z,20250819,,,21.668472290039062
300995.SZ,SZ,奇德新材,64.11,15.057429313659668,726105856,3840495509.91,5395497600.0,19.5390682220459,,131145.0,,,1,塑料制品,1/2,Z,20250819,,,21.877243041992188
002164.SZ,SZ,宁波东力,12.01,4.890829563140869,1804870384,5762100368.18,6391406088.96,31.22076988220215,,131827.0,,,2,通用设备,1/2,Z,20250819,,,9.606986999511719
