ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000158.SH,20250818,1207.7799,1200.2544,1218.0943,1195.3746,1193.1191,14.6608,1.2288,20319361.0,30874862.363
000159.SH,20250818,3434.5815,3421.1574,3456.3302,3411.7148,3404.5815,30.0,0.8812,658058656.0,970379894.417
000160.SH,20250818,1902.7664,1912.1384,1919.261,1902.5935,1905.3272,-2.5608,-0.1344,84787406.0,66918592.818
000161.SH,20250818,1616.1107,1603.75,1628.2648,1600.9074,1593.5067,22.604,1.4185,63154618.0,139106807.688
000162.SH,20250818,3687.3922,3631.386,3714.7055,3622.0857,3607.0307,80.3615,2.2279,37060155.0,84354237.66
000170.SH,20250818,5879.1042,5890.7392,5932.6985,5869.1944,5879.5067,-0.4025,-0.0068,49616955.13,118229779.14
000171.CSI,20250818,1500.8278,1474.6032,1521.9643,1459.9185,1467.2232,33.6046,2.2904,61272913.53,273677857.452
000300.SH,20250818,4239.4125,4218.2471,4272.9602,4203.4191,4202.3533,37.0592,0.8819,301479102.0,635365867.185
000510.CSI,20250818,5038.681,5006.3453,5075.9767,4990.6291,4985.8298,52.8512,1.06,436902991.0,861326679.584
000510.SH,20250818,5038.681,5006.3453,5075.9767,4990.6291,4985.8298,52.8512,1.06,436902991.0,861326679.584
000680.SH,20250818,1457.4094,1436.5486,1467.0181,1428.9683,1423.1483,34.2611,2.4074,63152529.0,256926628.091
000681.SH,20250818,1407.8794,1387.7275,1417.1616,1380.4049,1374.7826,33.0968,2.4074,63152529.0,256926628.1
000682.SH,20250818,1574.0372,1556.7562,1596.6725,1540.9943,1538.0363,36.0009,2.3407,10736497.0,73867424.279
000683.SH,20250818,1262.4899,1248.9655,1264.1246,1245.4501,1246.102,16.3879,1.3151,3753322.0,20023981.911
000685.SH,20250818,1993.1517,1977.5381,2020.6285,1951.5569,1955.9437,37.208,1.9023,8109580.0,68889567.887
000687.SH,20250818,1199.7738,1187.4545,1211.6312,1180.5701,1167.1076,32.6662,2.7989,7489011.0,27370872.833
000688.SH,20250818,1124.8218,1114.3204,1138.421,1105.5837,1101.2931,23.5287,2.1365,12605477.0,68521267.943
000689.SH,20250818,1022.7528,1005.1404,1029.1084,1001.3234,993.4015,29.3513,2.9546,6933969.0,22592973.346
000690.SH,20250818,1444.0945,1411.0972,1460.8104,1401.8758,1390.5897,53.5048,3.8476,6889587.0,59244752.652
000691.SH,20250818,1221.6867,1207.6037,1236.1173,1203.151,1195.2899,26.3968,2.2084,7212653.0,45705964.936
000692.SH,20250818,1015.3612,1003.9412,1025.6216,996.5699,996.0979,19.2633,1.9339,8826391.0,18827176.229
000693.SH,20250818,1294.802,1290.3333,1304.3723,1277.467,1276.6569,18.1451,1.4213,6121946.0,19738989.757
000695.SH,20250818,898.9907,886.0739,906.8816,882.0139,880.2853,18.7054,2.1249,9475746.0,42399386.583
000697.SH,20250818,1207.8179,1195.6659,1220.3344,1185.4918,1186.7999,21.018,1.771,6574831.0,25894068.973
000698.SH,20250818,1285.2993,1268.1939,1295.8374,1260.8662,1258.9965,26.3028,2.0892,13108406.0,59663268.961
000699.SH,20250818,1245.768,1215.6865,1247.4008,1213.1843,1202.601,43.167,3.5895,23126419.0,80561215.005
000802.SH,20250818,6941.5538,6891.4532,6986.9319,6865.6685,6847.8062,93.7476,1.369,164970282.0,219267557.921
000805.CSI,20250818,5469.3662,5516.0237,5521.2201,5454.8972,5478.4935,-9.1273,-0.1666,48694441.04,76653544.856
