ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000820.CSI,20250820,4091.5701,4057.2283,4092.7876,4050.3766,4071.5246,20.0455,0.4923,9187453.0,6889447.8
000820.SH,20250820,4091.5701,4057.2283,4092.7876,4050.3766,4071.5246,20.0455,0.4923,9187453.0,6889447.8
000821.CSI,20250820,6780.9277,6726.5933,6785.7924,6708.5094,6732.9791,47.9486,0.7121,48957912.0,58346926.8
000823.SH,20250820,7458.8022,7337.8861,7519.0655,7333.9839,7390.6904,68.1118,0.9216,35160915.0,66385700.4
000824.CSI,20250820,2156.5132,2138.8652,2157.4383,2132.9714,2141.9317,14.5815,0.6808,56683182.0,52733582.7
000824.SH,20250820,2156.5132,2138.8652,2157.4383,2132.9714,2141.9317,14.5815,0.6808,56683182.0,52733582.7
000825.CSI,20250820,3421.117,3384.2909,3423.0572,3370.9262,3388.6136,32.5034,0.9592,47042231.0,43775823.4
000825.SH,20250820,3421.117,3384.2909,3423.0572,3370.9262,3388.6136,32.5034,0.9592,47042231.0,43775823.4
000827.SH,20250820,1508.6279,1500.9165,1508.818,1482.167,1499.7309,8.897,0.5932,35033199.0,69626814.2
000828.CSI,20250820,2729.7915,2687.1862,2729.7915,2672.5626,2700.5867,29.2048,1.0814,59001029.0,251571680.9
000841.CSI,20250820,9098.547,8991.5345,9098.547,8918.1104,9034.7559,63.7911,0.7061,10991881.0,40772143.0
000846.CSI,20250820,1341.3682,1324.3231,1341.5012,1319.0281,1327.9502,13.418,1.0104,87800311.0,177717864.7
000847.SH,20250820,3398.0006,3351.5969,3398.1055,3339.4115,3362.1241,35.8765,1.0671,39764220.0,80792817.7
000849.SH,20250820,11139.4179,10951.0425,11139.4179,10888.1964,10989.7279,149.69,1.3621,29941643.0,55544414.5
000851.SH,20250820,18853.0765,18580.263,18853.5149,18516.2703,18590.6381,262.4384,1.4117,35188235.0,50048298.8
000852.SH,20250820,7305.4613,7212.9697,7305.4613,7166.991,7242.8494,62.6119,0.8645,324751503.0,517521411.0
000853.SH,20250820,1446.0636,1424.4592,1446.0695,1415.8645,1430.4764,15.5872,1.0897,26107379.0,116215699.1
000854.SH,20250820,4784.4233,4718.1851,4804.3653,4714.8079,4738.1825,46.2408,0.9759,36955210.0,54924117.7
000855.SH,20250820,1507.094,1484.5658,1507.2716,1479.5556,1489.8158,17.2782,1.1598,327849366.0,739759804.8
000856.SH,20250820,6308.6684,6218.5678,6308.6684,6202.8522,6238.3975,70.2709,1.1264,43376351.0,76283846.6
000857.SH,20250820,11346.4847,11263.7321,11346.4847,11140.9605,11312.7702,33.7145,0.298,10777537.0,25412212.9
000858.SH,20250820,8974.2945,8713.0581,8983.9371,8639.659,8802.6033,171.6912,1.9505,33958541.0,126882471.1
000859.CSI,20250820,1667.5265,1652.1272,1667.8492,1647.8545,1653.3116,14.2149,0.8598,90726058.0,108924698.6
