TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
002598.SZ,SZ,山东章鼓,12.86,-10.006998062133789,841472064,3627606309.92,4012816087.3599997,22.61699676513672,1.0,,145448.0,5670411.0,2,通用设备,,D,20250820,48.163352966308594,69115387.0,
002873.SZ,SZ,新天药业,13.67,-10.006583213806152,822839536,3262602783.07,3336899028.02,24.476844787597656,1.0,,144606.0,11630490.0,4,中药,,D,20250820,289.35601806640625,59930960.0,
601089.SH,SH,福元医药,27.72,-10.0,702086000,13305600000.0,13305600000.0,5.105374336242676,1.0,,145502.0,13244616.0,2,化学制药,,D,20250820,24.836145401000977,86361660.0,
603280.SH,SH,南方路机,47.25,-10.0,389170656,1320243765.75,5122215015.75,29.015649795532227,1.0,,142646.0,15308811.0,10,专用设备,,D,20250820,119.0661392211914,76275389.0,
603367.SH,SH,辰欣药业,30.65,-9.985315322875977,758914928,13876914053.849998,13876914023.199999,5.246279239654541,1.0,,135041.0,18739410.0,6,化学制药,,D,20250820,24.168304443359375,92753030.0,
600208.SH,SH,衢州发展,4.99,-9.9277982711792,2696272960,42454801921.630005,42459614592.0,6.241068363189697,1.0,,145433.0,24777061.0,16,房地产开发,,D,20250820,25.038005828857422,525721003.0,
601519.SH,SH,大智慧,16.83,-10.0,3419325648,33477562799.999996,33477562799.999996,10.054083824157715,1.0,,145234.0,25022608.0,9,软件开发,,D,20250820,3519.28564453125,735846420.0,
600619.SH,SH,海立股份,22.49,-10.00400161743164,3334587728,17748541207.02,24139515556.0,18.560625076293945,1.0,,143741.0,35563864.0,20,家电行业,,D,20250820,395.571044921875,599915412.0,
001277.SZ,SZ,速达股份,48.78,-10.0,244702428,926820000.0,3707280000.0,25.292631149291992,1.0,,130951.0,54540918.0,0,专用设备,,D,20250820,84.12261199951172,33380154.0,
603221.SH,SH,爱丽家居,13.65,-10.019776344299316,238888609,3306985500.0,3338517000.0,7.171461582183838,2.0,,94843.0,55625115.0,1,塑料制品,,D,20250820,37.644561767578125,1211161770.0,
